"PATROLLING","TRANSFER_TO_INTERVENTION","INTERVENTION","TRANSFER_TO_FIRING","FIRING","RETURNING_TO_HQ","NEUTRALIZED"
"6,19,17,5,4,0,0"
"18,21,18,3,4,0,0"
"18,20,23,7,5,0,0"
"13,17,14,11,10,0,0"
"11,13,11,5,6,0,0"
"16,15,16,7,7,0,0"
"14,16,14,5,5,0,0"
"12,12,13,0,0,0,0"
"11,20,20,3,3,39,0"
"14,17,18,0,0,1,0"
"20,17,15,7,7,0,0"
"14,23,21,9,9,0,0"
"21,17,17,6,6,0,0"
"13,17,14,9,8,0,0"
"13,18,16,2,3,0,0"
"13,14,14,9,9,0,0"
"13,16,16,7,3,32,0"
"17,18,18,7,8,7,0"
"10,20,17,8,6,1,0"
"20,20,20,9,10,0,0"
"12,17,15,7,6,0,0"
"15,22,23,16,15,0,0"
"21,28,25,16,13,0,0"
