"simulationTime[s]","averageTransferToInterventionDuration[s]","averageTransferToFiringDuration[s]"
3603,159.2962962962963,389.0
7200,152.65384615384616,274.3333333333333
10800,144.53333333333333,325.2
14400,137.45454545454547,358.5
18000,118.88461538461539,227.2
21601,101.56521739130434,264.0
25200,123.33333333333333,250.5
28800,174.46666666666667,536.0
32400,130.74074074074073,274.0
36000,93.32,236.5
39600,110.39393939393939,169.66666666666666
43201,204.16666666666666,284.0
46801,212.24,400.0
50401,104.45161290322581,333.25
54000,114.5925925925926,253.66666666666666
57600,125.0,485.0
61200,101.0,216.0
64802,90.21212121212122,372.14285714285717
68401,136.14285714285714,239.28571428571428
72000,144.6206896551724,430.57142857142856
75600,243.63888888888889,301.0
79202,255.92592592592592,329.5
82800,132.1818181818182,771.0
